favorites,retweets,tweet_id
37899,8278,892420643555336193
32556,6115,892177421306343426
24514,4051,891815181378084864
41252,8420,891689557279858688
39424,9120,891327558926688256
19820,3034,891087950875897856
11585,2007,890971913173991426
63953,18368,890729181411237888
27230,4167,890609185150312448
31242,7187,890240255349198849
30019,7138,890006608113172480
27224,4845,889880896479866881
47096,9778,889665388333682689
26567,4407,889638837579907072
14791,2191,889531135344209921
24699,5224,889278841981685760
28501,4389,888917238123831296
25027,4174,888804989199671297
19400,3450,888554962724278272
21291,3402,888078434458587136
29543,5250,887705289381826560
45278,11383,887517139158093824
67530,17699,887473957103951883
32961,10151,887343217045368832
29927,5808,887101392804085760
34392,7570,886983233522544640
11802,3193,886736880519319552
21955,4350,886680336477933568
20748,3120,886366144734445568
116,4,886267009285017600
27407,6130,886258384151887873
0,104,886054160059072513
31938,6594,885984800019947520
35196,6262,885528943205470208
20000,3659,885518971528720385
0,18076,885311592912609280
21456,4276,885167619883638784
75758,17787,884925521741709313
27326,5470,884876753390489601
23788,4570,884562892145688576
26431,5518,884441805382717440
71444,19985,884247878851493888
19928,2910,884162670584377345
21438,3364,883838122936631299
44940,9675,883482846933004288
22205,3610,883360690899218434
36366,6493,883117836046086144
23456,3826,882992080364220416
27694,4784,882762694511734784
27349,5936,882627270321602560
43992,11308,882268110199369728
28740,4840,882045870035918850
23809,3311,881906580714921986
49522,10414,881666595344535552
124,7,881633300179243008
48386,15569,881536004380872706
22609,5051,881268444196462592
16676,2715,880935762899988482
20841,3734,880872448815771648
27935,6129,880465832366813184
26473,4115,880221127280381952
27043,4243,880095782870896641
21881,3414,879862464715927552
303,10,879674319642796034
22939,3105,879492040517615616
103672,43259,879415818425184262
16446,3043,879376492567855104
0,6658,879130579576475649
22084,4602,879050749262655488
18593,2636,879008229531029506
19013,4037,878776093423087618
29636,7036,878604707211726852
0,1257,878404777348136964
0,6499,878316110768087041
7590,1257,878281511006478336
41170,6658,878057613040115712
78129,18657,877736472329191424
0,79,877611172832227328
22274,3722,877556246731214848
26838,5072,877316821321428993
26581,5460,877201837425926144
20295,3268,876838120628539392
23062,4547,876537666061221889
18398,2350,876484053909872640
27392,4588,876120275196170240
24717,4209,875747767867523072
21521,4835,875144289856114688
26891,5935,875097192612077568
24994,4625,875021211251597312
27305,4555,874680097055178752
0,14434,874434818259525634
25568,4029,874296783580663808
22276,3890,874057562936811520
33932,10214,874012996292530176
23777,3869,873580283840344065
0,1559,873337748698140672
7105,1559,873213775632977920
26869,5327,872967104147763200
14471,3633,872820683541237760
20445,3638,872620804844003328
40023,8896,872486979161796608
33662,6233,872261713294495745
33867,8017,872122724285648897
37351,11001,871879754684805121
19955,3434,871762521631449091
19911,3416,871515927908634625
0,5631,871166179821445120
20643,5446,871102520638267392
22359,3776,871032628920680449
33174,6145,870804317367881728
117,3,870726314365509632
12253,2614,870656317836468226
81687,25983,870374049280663552
21565,4121,870308999962521604
36206,8277,870063196459192321
41918,9954,869772420881756160
27912,6300,869702957897576449
15796,3119,869596645499047938
20236,3767,869227993411051520
64939,14395,868880397819494401
0,2087,868639477480148993
26478,5273,868622495443632128
10041,2087,868552278524837888
23995,4170,867900495410671616
33692,7319,867774946302451713
15986,2499,867421006826221569
0,121,867072653475098625
